id,bibl_ref_nr,ai_bibl_ref
1,5,5
2,0,0
3,0,4
4,0,2
5,1,0
6,1,0
7,0,0
8,1,0
9,0,0
10,1,0
11,2,1
12,2,2
13,2,0
14,1,2
15,0,0
16,0,0
17,2,2
18,6,7
19,4,3
20,2,1
21,1,0
22,0,1
23,0,0
24,0,3
25,2,3
26,4,6
27,0,5
28,1,5
29,3,2
30,1,0
31,1,0
32,0,0
33,1,0
34,2,2
35,2,3
36,1,3
37,2,2
38,3,1
39,3,2
40,1,1
41,2,3
42,3,3
43,0,0
44,0,7
45,3,3
46,1,0
47,2,5
48,0,0
49,0,4
50,0,1
51,0,1
52,1,0
53,4,0
54,1,0
55,1,1
56,1,4
57,2,2
58,1,4
59,1,2
60,2,3
61,4,4
62,1,0
63,1,3
64,1,0
65,1,2
66,0,1
67,0,0
68,4,1
69,1,2
70,0,2
71,0,7
72,2,10
73,5,9
74,2,2
75,1,4
76,2,2
77,1,1
78,2,0
79,3,1
80,3,1
81,1,4
82,3,2
83,1,1
84,0,0
85,0,2
86,0,5
87,0,5
88,3,3
89,0,0
90,1,0
91,3,0
92,0,0
93,1,0
94,1,0
95,0,0
96,0,0
97,3,0
98,0,0
99,1,0
100,1,0
101,0,0
102,1,0
103,1,0
104,1,1
105,2,1
106,0,0
107,0,1
108,0,2
109,4,4
110,1,1
111,2,2
112,2,4
113,1,2
114,0,0
115,0,1
116,0,0
117,1,2
118,0,1
119,0,1
120,0,2
121,2,2
122,1,0
123,1,2
124,0,2
125,0,2
126,1,1
127,2,2
128,1,1
129,0,0
130,1,1
131,1,1
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,2
138,1,3
139,0,2
140,2,1
141,0,1
142,0,2
143,0,1
144,1,2
145,0,1
147,0,2
148,0,0
149,2,1
150,2,1
151,3,2
152,2,4
153,0,0
154,1,1
155,0,1
156,1,2
157,0,7
158,0,7
159,0,0
160,0,5
161,3,2
162,0,0
163,0,0
164,0,3
165,0,3
166,0,0
167,0,1
168,1,3
169,2,1
170,2,3
171,2,4
172,3,2
173,3,2
174,1,5
175,2,6
176,0,0
177,10,6
178,1,8
179,2,1
180,1,0
181,4,2
182,0,2
183,2,5
184,2,2
185,0,0
186,1,1
187,3,5
188,1,2
189,4,3
190,2,3
191,2,3
192,3,2
193,2,1
194,1,0
195,3,6
196,3,3
197,2,1
198,4,4
199,2,1
200,0,2
201,0,3
202,3,3
203,1,3
204,2,2
205,2,1
206,3,2
207,3,4
208,0,1
